id,Método,N de submissoes
1,TDD,4
2,TDD,2
3,TDD,8
4,TDD,4
5,TDD,1
6,TDD,4
7,TDD,5
8,TDD,4
9,TDD,5
10,TDD,2
11,TDD,8
12,TDD,2
13,TDD,6
14,TDD,4
15,TDD,5
16,TDD,5
17,TDD,2
18,TDD,3
19,TDD,1
20,TDD,3
21,TDD,3
22,TDD,9
23,TDD,6
24,TDD,6
25,TDD,5
26,TDD,2
27,TDD,8
28,TDD,7
29,TDD,3
30,TDD,8
31,TDD,1
32,TDD,5
33,TDD,9
34,TDD,6
35,TDD,10
36,TDD,4
37,TDD,6
38,TDD,4
39,TDD,8
40,TDD,1
41,TDD,2
42,TDD,3
43,TDD,4
44,TDD,7
45,TDD,7
1,Oráculo B,1
2,Oráculo B,1
3,Oráculo B,3
4,Oráculo B,4
5,Oráculo B,1
6,Oráculo B,4
7,Oráculo B,5
8,Oráculo B,2
9,Oráculo B,6
10,Oráculo B,1
11,Oráculo B,4
12,Oráculo B,1
13,Oráculo B,2
14,Oráculo B,3
15,Oráculo B,3
16,Oráculo B,4
17,Oráculo B,1
18,Oráculo B,1
19,Oráculo B,4
20,Oráculo B,2
21,Oráculo B,5
22,Oráculo B,8
23,Oráculo B,2
24,Oráculo B,1
25,Oráculo B,3
26,Oráculo B,5
27,Oráculo B,4
28,Oráculo B,2
29,Oráculo B,3
30,Oráculo B,4
31,Oráculo B,2
32,Oráculo B,1
33,Oráculo B,2
34,Oráculo B,5
35,Oráculo B,4
36,Oráculo B,4
37,Oráculo B,2
38,Oráculo B,3
39,Oráculo B,5
40,Oráculo B,3
41,Oráculo B,1
42,Oráculo B,4
43,Oráculo B,2
44,Oráculo B,2
45,Oráculo B,3
